,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std,mediana_de_medianas,lag_90,lag_180,lag_270,lag_360
71,71.0,22.0,31.0,1.0967742,34.0,69.0,2.0,20.0,51.0,0.0,23.666666,20.981474,50.0,19.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.1,15.358711,35.0,20.0,16.0,0.0,17.75,12.457428,31.5,32.2905,33.648197,34.116962,34.36589
72,55.0,11.0,19.0,1.3157895,25.0,54.0,1.0,17.0,38.0,0.0,18.333334,15.542058,38.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.5,11.698291,38.0,3.0,9.0,5.0,13.75,14.166422,40.5,32.2905,33.648197,34.116962,34.36589
73,78.0,28.0,36.0,1.1944444,43.0,67.0,11.0,62.0,16.0,0.0,26.0,26.280539,15.0,50.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,7.8,15.038617,25.0,7.0,46.0,0.0,19.5,17.811514,43.5,32.2905,33.648197,34.116962,34.36589
74,17.0,7.0,9.0,1.1111112,10.0,14.0,3.0,9.0,8.0,0.0,5.6666665,4.027682,8.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.7,2.9681644,11.0,1.0,5.0,0.0,4.25,4.322904,41.0,32.2905,33.648197,34.116962,34.36589
75,112.0,22.0,36.0,1.1111112,40.0,110.0,2.0,17.0,94.0,1.0,37.333332,40.598305,88.0,15.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,11.2,25.991537,23.0,56.0,31.0,2.0,28.0,19.326149,41.0,32.2905,33.648197,34.116962,34.36589
76,92.0,21.0,36.0,1.1388888,41.0,90.0,2.0,52.0,40.0,0.0,30.666666,22.23111,36.0,52.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,17.80337,54.0,5.0,33.0,0.0,23.0,21.874643,41.0,32.2905,33.648197,34.116962,34.36589
77,34.0,12.0,21.0,1.0476191,22.0,31.0,3.0,14.0,20.0,0.0,11.333333,8.37987,20.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.4,6.7409196,20.0,2.0,12.0,0.0,8.5,8.046739,44.0,32.2905,33.648197,34.116962,34.36589
78,18.0,8.0,12.0,1.0,12.0,17.0,1.0,4.0,14.0,0.0,6.0,5.8878407,12.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8,3.6,8.0,0.0,10.0,0.0,4.5,4.555217,43.0,32.2905,33.648197,34.116962,34.36589
79,24.0,7.0,9.0,1.2222222,11.0,23.0,1.0,9.0,15.0,0.0,8.0,6.164414,15.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4,4.8207884,18.0,3.0,3.0,0.0,6.0,7.0356236,41.0,32.2905,33.648197,34.116962,34.36589
80,25.0,5.0,8.0,1.25,10.0,25.0,0.0,20.0,5.0,0.0,8.333333,8.498365,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,6.0207973,20.0,0.0,5.0,0.0,6.25,8.196798,38.5,32.2905,33.648197,34.116962,34.36589
81,9.0,6.0,8.0,1.0,8.0,8.0,1.0,3.0,6.0,0.0,3.0,2.4494898,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.6401219,3.0,1.0,5.0,0.0,2.25,1.9202864,29.5,32.2905,33.648197,34.116962,34.36589
82,30.0,18.0,22.0,1.0454545,23.0,27.0,3.0,10.0,20.0,0.0,10.0,8.164966,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.4031243,16.0,5.0,9.0,0.0,7.5,5.8523498,32.0,32.2905,33.648197,34.116962,34.36589
83,94.0,21.0,29.0,1.137931,33.0,91.0,3.0,43.0,51.0,0.0,31.333334,22.395435,37.0,41.0,3.0,10.0,1.0,2.0,0.0,0.0,0.0,9.4,15.100993,48.0,11.0,35.0,0.0,23.5,18.980253,32.0,32.2905,33.648197,34.116962,34.36589
84,48.0,17.0,22.0,1.1363636,25.0,43.0,5.0,20.0,28.0,0.0,16.0,11.7756815,25.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,8.964374,7.0,18.0,23.0,0.0,12.0,9.027735,32.0,32.2905,33.648197,34.116962,34.36589
